SAMPLE CODE,YEAR,REGION,LOCATION,SITE NAME,DEPTH ZONE,TRANSECT,Acanthurus tractus (bahianus),Acanthurus chirurgus,Acanthurus coeruleus,Aetobatus narinari,Alectis ciliaris,Balistes vetula,Calamus pennatula,Canthidermis sufflamen,Caranx bartholomaei,Caranx crysos,Caranx hippos,Caranx latus,Caranx lugubris,Caranx ruber,Carcharhinus limbatus,Carcharhinus perezii,Cephalopholis cruentata,Cephalopholis fulva,Chaetodon ocellatus,Chaetodon sedentarius,Chaetodon striatus,Decapterus macarellus,Elagatis bipinnulata,Epinephelus adscensionis,Epinephelus guttatus,Epinephelus itajara,Epinephelus striatus,Gerres cinereus,Ginglymostoma cirratum,Gymnothorax moringa,Haemulon plumierii,Holacanthus ciliaris,Holacanthus tricolor,Hypanus americanus,Istiophorus albicans,Lachnolaimus maximus,Lactophrys trigonus,Lactophrys triqueter,Lutjanus analis,Lutjanus apodus,Lutjanus cyanopterus,Lutjanus griseus,Lutjanus jocu,Lutjanus mahogoni,Lutjanus synagris,Microspathodon chrysurus,Mycteroperca interstitialis,Mycteroperca tigris,Mycteroperca venenosa,Negaprion brevirostris,Ocyurus chrysurus,Pomacanthus paru,Pterois volitans,Scarus coelestinus,Scarus iseri,Scarus taeniopterus,Scomberomorus regalis,Seriola rivoliana,Sparisoma aurofrenatum,Sparisoma chrysopterum,Sparisoma radians,Sparisoma rubripinne,Sparisoma viride,Sphyraena barracuda,Sphyraena picudilla,Trachinotus falcatus
2015Puerto Botes 20m4,2015,Mona/Desecheo,Isla Desecheo,Puerto Botes 20m,Intermediate,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.11,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,40.06,20.58,0,0,113.45,0,0,0,47.18,0,0,0
2015Puerto Botes 20m5,2015,Mona/Desecheo,Isla Desecheo,Puerto Botes 20m,Intermediate,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,399.53,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,1292.42,0,105.27,0,0,0,1140.38,0,0,0
2015Puerto Canoas 30m1,2015,Mona/Desecheo,Isla Desecheo,Puerto Canoas 30m,Mesophotic,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08,8.55,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,22463.16,0,0,0,0,0,,0,0,0,0,0,,275.65,0,44.97,0,227.72,0,151.22,0,0,0,723.07,0,0,0
2015Puerto Canoas 30m2,2015,Mona/Desecheo,Isla Desecheo,Puerto Canoas 30m,Mesophotic,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,120.2,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,8000,0,0,,433.33,0,607.93,0,0,0,143.04,0,0,0,1539.99,0,0,0
2015Puerto Canoas 30m3,2015,Mona/Desecheo,Isla Desecheo,Puerto Canoas 30m,Mesophotic,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,120.2,0,,,,0,0,0,0,0,0,0,16656.06,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,726.8,0,16.86,0,0,0,0,0,0,0,22.76,0,0,0
2015Puerto Canoas 30m4,2015,Mona/Desecheo,Isla Desecheo,Puerto Canoas 30m,Mesophotic,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,654.05,0,0,0,0,0,,0,0,0,0,0,,0,0,109.62,0,0,0,210.54,0,0,41.17,0,0,0,0
2015Puerto Canoas 30m5,2015,Mona/Desecheo,Isla Desecheo,Puerto Canoas 30m,Mesophotic,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,120.2,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,20020.31,0,0,0,0,0,,0,0,0,0,0,,0,0,16.86,0,0,0,37.77,657.63,0,0,0,0,0,0
2015Reserva Isla Verde1,2015,North/Northeast,Carolina,Reserva Isla Verde,Very Shallow,1,,,,7100,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015Reserva Isla Verde2,2015,North/Northeast,Carolina,Reserva Isla Verde,Very Shallow,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,18.98,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015Reserva Isla Verde3,2015,North/Northeast,Carolina,Reserva Isla Verde,Very Shallow,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015Reserva Isla Verde4,2015,North/Northeast,Carolina,Reserva Isla Verde,Very Shallow,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015Reserva Isla Verde5,2015,North/Northeast,Carolina,Reserva Isla Verde,Very Shallow,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.52,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,8.18,0,0,0,0,0,0,0
2015Resuellos1,2015,West,Cabo Rojo,Resuellos,Shallow,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,338.18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,254.47,0,172.47,0,0,0,143.04,0,0,0,169.61,0,0,0
2015Resuellos2,2015,West,Cabo Rojo,Resuellos,Shallow,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,544.78,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,96.82,,0,0,135.93,0,0,0,129.81,0,0,0,169.61,0,0,0
2015Resuellos3,2015,West,Cabo Rojo,Resuellos,Shallow,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,18.98,,0,0,89.94,0,0,0,57.26,0,0,0,94.36,0,0,0
2015Resuellos4,2015,West,Cabo Rojo,Resuellos,Shallow,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,39.99,0,0,0,0,0,,0,0,0,0,125.67,,0,0,73.78,0,0,0,75.54,0,0,0,273.83,0,0,0
2015Resuellos5,2015,West,Cabo Rojo,Resuellos,Shallow,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1300,106.14,0,0,0,0,0,,0,0,0,0,741.9,,0,0,297.19,0,0,0,91.9,0,0,0,251.07,0,0,0
2015Tourmaline 10m1,2015,West,Cabo Rojo,Tourmaline 10m,Shallow,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,2.2,254.5,0,0,45.95,0,0,0,703.03,0,0,0
2015Tourmaline 10m2,2015,West,Cabo Rojo,Tourmaline 10m,Shallow,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,207.37,0,0,0,93.75,0,0,0,69.94,0,0,0
2015Tourmaline 10m3,2015,West,Cabo Rojo,Tourmaline 10m,Shallow,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,930.98,0,0,0,84.09,0,0,0,538.84,0,0,0
2015Tourmaline 10m4,2015,West,Cabo Rojo,Tourmaline 10m,Shallow,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,105.44,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,16.86,516.54,0,0,270.65,0,0,0,433.58,0,0,0
2015Tourmaline 10m5,2015,West,Cabo Rojo,Tourmaline 10m,Shallow,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08,17.1,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,366.54,0,0,0,114.05,0,0,0,169.61,0,0,0
2015Tourmaline 20m1,2015,West,Cabo Rojo,Tourmaline 20m,Intermediate,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,204.68,255.44,0,0,0,0,0,0,1225.21,0,0,0
2015Tourmaline 20m2,2015,West,Cabo Rojo,Tourmaline 20m,Intermediate,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,439.34,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,125.67,,0,0,182.7,255.44,0,0,113.31,0,0,0,0,0,0,0
2015Tourmaline 20m3,2015,West,Cabo Rojo,Tourmaline 20m,Intermediate,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,125.67,,0,0,0,404.4,0,0,0,0,0,0,251.07,0,0,0
2015Tourmaline 20m4,2015,West,Cabo Rojo,Tourmaline 20m,Intermediate,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,1080.32,0,0,227.84,0,0,0,0,0,0,0
2015Tourmaline 20m5,2015,West,Cabo Rojo,Tourmaline 20m,Intermediate,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,32.04,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,148.65,0,0,0,0,0,0,0,1295.15,0,0,0
2015Tourmaline 30m1,2015,West,Cabo Rojo,Tourmaline 30m,Mesophotic,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,97.63,0,0,0,0,0,0,0,0,0,0,0
2015Tourmaline 30m2,2015,West,Cabo Rojo,Tourmaline 30m,Mesophotic,2,,,,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,261.39,0,0,0,0,0,0,0,0,0,0,0
2015Tourmaline 30m3,2015,West,Cabo Rojo,Tourmaline 30m,Mesophotic,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,25.29,207.87,0,0,113.45,0,0,0,723.07,0,0,0
2015Tourmaline 30m4,2015,West,Cabo Rojo,Tourmaline 30m,Mesophotic,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,32.04,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1100,0,0,0,0,,0,0,261.39,0,0,0,75.54,0,0,0,0,0,0,0
2015Tourmaline 30m5,2015,West,Cabo Rojo,Tourmaline 30m,Mesophotic,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,32.04,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,177.06,0,0,0,91.9,0,0,0,22.76,0,0,0
2015Tres Palmas 10m1,2015,West,Rincon,Tres Palmas 10m,Shallow,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.59,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,183.52,0,0,106.75,0,0,0,0,0,0,0
2015Tres Palmas 10m2,2015,West,Rincon,Tres Palmas 10m,Shallow,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,23.76,0,0,25.28,0,0,0,0,0,0,0
2015Tres Palmas 10m3,2015,West,Rincon,Tres Palmas 10m,Shallow,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.52,,,,0,0,0,232.74,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,13.86,0,0,64.53,0,0,0,0,0,0,0
2015Tres Palmas 10m4,2015,West,Rincon,Tres Palmas 10m,Shallow,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.04,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,622.48,0,0,0,0,0,0,0,0,0,0
2015Tres Palmas 10m5,2015,West,Rincon,Tres Palmas 10m,Shallow,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.24,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,262.04,0,0,16.36,0,0,0,0,0,0,0
2015Tres Palmas 20m1,2015,West,Rincon,Tres Palmas 20m,Intermediate,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,38.14,0,0,0,58.56,0,0,0
2015Tres Palmas 20m2,2015,West,Rincon,Tres Palmas 20m,Intermediate,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,32.04,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0
2015Tres Palmas 20m3,2015,West,Rincon,Tres Palmas 20m,Intermediate,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,473.87,0,0,17.47,0,0,0,0,0,0,0
2015Tres Palmas 20m4,2015,West,Rincon,Tres Palmas 20m,Intermediate,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,64.08,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,261.7,0,,0,0,0,0,0,,134.54,0,0,19.8,0,0,37.77,0,0,0,446.79,0,0,0
2015Tres Palmas 20m5,2015,West,Rincon,Tres Palmas 20m,Intermediate,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,88.16,35.52,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,24.54,0,0,1.85,0,0,0,0,0,0,0
2015Tres Palmas 5m1,2015,West,Rincon,Tres Palmas 5m,Very Shallow,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,39.99,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,230.59,3.2,0,0,0
2015Tres Palmas 5m2,2015,West,Rincon,Tres Palmas 5m,Very Shallow,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1670,3.2,0,0,0
2015Tres Palmas 5m3,2015,West,Rincon,Tres Palmas 5m,Very Shallow,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1598.12,0,0,0,261.7,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015Tres Palmas 5m4,2015,West,Rincon,Tres Palmas 5m,Very Shallow,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1.92,0,0,0
2015Tres Palmas 5m5,2015,West,Rincon,Tres Palmas 5m,Very Shallow,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015West Reef1,2015,South,Ponce,West Reef,Very Shallow,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,21.24,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,45.57,0,0,0,0,0,0,0,0,0,,0,0,0,0,151.84,,0,0,35.04,106.67,0,0,0,0,0,0,12.66,0,0,0
2015West Reef2,2015,South,Ponce,West Reef,Very Shallow,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,75.92,,0,0,0,0,0,0,45.95,0,0,0,11.38,0,0,0
2015West Reef3,2015,South,Ponce,West Reef,Very Shallow,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,18.98,,0,0,97.63,57,0,0,8.18,0,0,0,34.14,0,0,0
2015West Reef4,2015,South,Ponce,West Reef,Very Shallow,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,58.86,,0,0,36.54,183.52,0,0,0,0,0,0,34.14,0,0,0
2015West Reef5,2015,South,Ponce,West Reef,Very Shallow,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,21.24,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,39.99,0,0,3632.38,0,0,,0,0,0,0,37.96,,0,0,10.63,0,0,0,8.18,0,0,0,256.24,0,0,0
2016Canal Luis Peña1,2016,Vieques/Culebra,Isla Culebra,Canal Luis Peña,Very Shallow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,351.97,,0,0,47.61,0,0,0,151.08,0,0,0,0,0,0,0
2016Canal Luis Peña2,2016,Vieques/Culebra,Isla Culebra,Canal Luis Peña,Very Shallow,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,870.13,,0,0,42.15,209.85,0,0,38.14,0,0,0,4.48,0,0,0
2016Canal Luis Peña3,2016,Vieques/Culebra,Isla Culebra,Canal Luis Peña,Very Shallow,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,684.3,0,0,,0,0,0,0,125.67,,0,0,47.17,0,0,0,105.27,0,0,0,0,0,0,0
2016Canal Luis Peña4,2016,Vieques/Culebra,Isla Culebra,Canal Luis Peña,Very Shallow,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.16,0,,,,0,0,0,979.68,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0.88,75.41,0,0,113.31,0,0,0,495.89,0,0,0
2016Canal Luis Peña5,2016,Vieques/Culebra,Isla Culebra,Canal Luis Peña,Very Shallow,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,222.52,,0,0,37.86,252.9,0,0,113.31,0,0,417.67,59.2,0,0,0
2016Canjilones (Vieques)1,2016,Vieques/Culebra,Isla Vieques,Canjilones (Vieques),Intermediate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.04,0,,,,0,0,0,746.94,0,0,0,0,,,0,0,0,0,0,0,0,0,106.14,0,0,0,0,0,,0,0,0,0,58.86,,0,0,36.54,262.04,0,0,8.18,0,0,0,1.92,0,0,0
2016Canjilones (Vieques)2,2016,Vieques/Culebra,Isla Vieques,Canjilones (Vieques),Intermediate,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,58.86,,0,0,36.54,481.25,0,0,249.42,0,0,0,251.07,0,0,0
2016Canjilones (Vieques)3,2016,Vieques/Culebra,Isla Vieques,Canjilones (Vieques),Intermediate,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,232.74,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,592.45,1095.45,0,0,75.91,0,0,0,723.07,0,0,0
2016Canjilones (Vieques)4,2016,Vieques/Culebra,Isla Vieques,Canjilones (Vieques),Intermediate,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,348.19,,0,0,75.28,1366.9,0,0,181.55,0,0,0,1085.23,0,0,0
2016Canjilones (Vieques)5,2016,Vieques/Culebra,Isla Vieques,Canjilones (Vieques),Intermediate,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.34,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,235.92,451.03,0,0,75.54,0,0,0,2169.21,0,0,0
2016Carlos Rosario1,2016,Vieques/Culebra,Isla Culebra,Carlos Rosario,Shallow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.36,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,221.44,0,0,0,0,0,,0,0,0,0,1535.76,,0,0,213.11,33.66,0,0,0,0,0.5,0,617.68,0,0,0
2016Carlos Rosario2,2016,Vieques/Culebra,Isla Culebra,Carlos Rosario,Shallow,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.16,189.34,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1148.98,,0,0,17.74,284.72,0,0,83.72,0,0,0,292.04,0,0,0
2016Carlos Rosario3,2016,Vieques/Culebra,Isla Culebra,Carlos Rosario,Shallow,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.12,0,,,,0,0,0,746.94,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,684.3,0,0,,0,0,0,0,574.49,,0,0,2.2,510.88,0,0,122,0,0,0,0,0,0,0
2016Carlos Rosario4,2016,Vieques/Culebra,Isla Culebra,Carlos Rosario,Shallow,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.96,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,574.49,,0,0,1.32,255.44,0,0,83.72,0,0,0,6.4,0,0,0
2016Carlos Rosario5,2016,Vieques/Culebra,Isla Culebra,Carlos Rosario,Shallow,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,903,,0,0,0.88,92.22,0,0,273.79,0,0.5,0,950.21,0,0,0
2016Cayo Caribes (2016)1,2016,Southeast,Salinas,Cayo Caribes (2016),Shallow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.38,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,125.67,,0,0,2.2,0,0,0,37.77,0,0,0,446.79,0,0,0
2016Cayo Caribes (2016)2,2016,Southeast,Salinas,Cayo Caribes (2016),Shallow,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,125.67,,0,0,4.4,0,0,0,37.77,0,0,0,0,0,0,0
2016Cayo Caribes (2016)3,2016,Southeast,Salinas,Cayo Caribes (2016),Shallow,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,2.2,0,0,0,0,395.17,0,0,1.92,0,0,0
2016Cayo Caribes (2016)4,2016,Southeast,Salinas,Cayo Caribes (2016),Shallow,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,568.39,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,105.27,0,0,0,0,0,0,0
2016Cayo Caribes (2016)5,2016,Southeast,Salinas,Cayo Caribes (2016),Shallow,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,2.2,0,0,0,8.55,0,0,0,0,0,0,0
2016Cayo Diablo (2016)1,2016,North/Northeast,Fajardo,Cayo Diablo (2016),Very Shallow,1,0,38.37,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,18.98,,0,0,0,13.86,0,0,105.27,0,0,0,1.28,0,0,0
2016Cayo Diablo (2016)2,2016,North/Northeast,Fajardo,Cayo Diablo (2016),Very Shallow,2,40.93,0,141.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,21.78,0,0,0,0,0,0,134.45,0,0,0
